Iterations,TotalV,Wallclock
1,0.0,0.017119257
2,-87.93999999999997,0.035347233
3,-170.9911,0.040855526
4,-243.42049000000026,0.044749629
5,-311.25409309000037,0.04734802
6,-375.5275721190999,0.049781461
7,-434.4128760089083,0.053178114
8,-488.0113409143073,0.055615583
9,-533.6359396943548,0.058088907
10,-572.3543070725503,0.062269636
11,-604.2908700445781,0.065497961
12,-630.4817749368326,0.069170039
13,-651.9430328914142,0.07157788
14,-671.4257723717346,0.07443001
15,-685.4573335294881,0.077182752
16,-692.4073000316401,0.079683937
17,-694.987475095564,0.093176897
18,-695.838932866659,0.094943487
